HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 7/11/2021 7:40:04 PM
Notes: 

[Location Information]

[Driver Information]

[Vehicle Information]

[Channel Information]
0,6200,2630,6201,2110,2701,2200,17,2114,2517,2518,2513,2332,11,12,6010,6001,2301,16,2321,14,2510,2511,2113,4120,7,8,6,9,2120,15,2340,17000,6402,5,31001
Offset,Injector Pulse Width Avg. Bank 1,Knock Retard,Injector Pulse Width Avg. Bank 2,Throttle Position Sensor,Delivered Engine Torque,Idle Air Control Position,Throttle Position (SAE),Accelerator Pedal Position,Torque Mgt Advance,Cranking Advance,IAT Advance,Manifold Absolute Pressure Sensor,Intake Manifold Absolute Pressure (SAE),Engine RPM (SAE),Equivalence Ratio Commanded,Air-Fuel Ratio Commanded,Mass Airflow Sensor,Mass Airflow (SAE),Cylinder Airmass,Timing Advance (SAE),Base Advance,Coolant Advance,Throttle Desired Position,Trans Current Gear,Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 2 (SAE),Short Term Fuel Trim Bank 1 (SAE),Long Term Fuel Trim Bank 2 (SAE),Engine Oil Pressure,Intake Air Temp (SAE),Barometric Pressure,PRNDL Status,Fuel Tank Level,Engine Coolant Temp (SAE),AEM - AFR
s,ms,°,ms,V,lb·ft,,%,%,°,°,°,V,psi,rpm,λ,,Hz,lb/min,g,°,°,°,%,,%,%,%,%,psi,°F,psi,,gal,°F,

[Channel Data]
240.249,4.1657129778,0,4.0436408026,0.6078431373,61.9921875,151,0,0,0,16.7252747253,0,2.3185779362,7.8320381705,773.4522613065,1,14.1728515625,3156.8101602157,0,0.2055566406,18,18.1538461538,0,0.625,1,0,-3.90625,-3.515625,-3.90625,-15.3724899598,95,14.5601897808,D4,0,159.8,14.3
240.350,4.2354137361,0,4.0513853313,0.6078431373,62.0219260364,151,0,0,0,16.7252747253,0,2.3333333333,7.8320381705,766.9924242424,1,14.1728515625,3151.6368353545,0,0.2065429688,18,18.1538461538,0,0.625,1,0,-3.90625,-1.9375,-3.90625,-15.3724899598,95,14.5601897808,D4,0,159.8,14.4
240.474,4.2832074464,0,4.0549324788,0.6078431373,62.147265625,151,0,0,0,16.7252747253,0,2.3407843137,7.8320381705,764.75,1,14.1728515625,3157.3601717973,0,0.2063908409,18.38,18.1812358496,0,0.625,1,0,-3.90625,-1.5703914141,-3.90625,-15.3724899598,95,14.5601897808,D4,0,159.8,14.39375
240.579,4.2030975814,0,4.0389105058,0.6078431373,62.5369140625,151,0,0,0,16.7252747253,0,2.3529411765,7.8320381705,772.5227272727,1,14.1728515625,3146.240234375,0,0.2064289538,19,18.1877614771,0,0.625,1,0,-3.90625,-3.90625,-3.90625,-15.3724899598,95,14.5601897808,D4,0,159.8,14.3
240.724,4.1504539559,0,4.0283817807,0.6078431373,62.7704782197,151,0,0,0,16.7252747253,0,2.3404634581,7.8320381705,784.0314070352,1,14.1728515625,3110.83984375,0,0.2071533203,17.7272727273,18.1318681319,0,0.625,1,0,-3.90625,-3.90625,-3.90625,-15.3724899598,95,14.5601897808,D4,0,159.8,14.1
